Date,Open,High,Low,Close,GAP up/down,Range,O-C,C-C,LOD>P.Close,P.Close>High,,,
12/31/15,"2,060.59","2,062.54","2,043.62","2,043.94",#VALUE!,18.92,-16.65,,,,,,
1/2/15,"2,058.90","2,072.36","2,046.04","2,046.04",14.96,26.32,-12.86,2.1,2.1,-28.42,,,
1/5/15,"2,054.44","2,054.44","2,017.34","2,020.58",8.4,37.1,-33.86,-25.46,-28.7,-8.4,,,
1/6/15,"2,022.15","2,030.25","1,992.44","2,002.61",1.57,37.81,-19.54,-17.97,-28.14,-9.67,,,
1/7/15,"2,005.55","2,029.61","2,005.55","2,025.90",2.94,24.06,20.35,23.29,2.94,-27,,,
1/8/15,"2,030.61","2,064.08","2,030.61","2,062.14",4.71,33.47,31.53,36.24,4.71,-38.18,,,
1/9/15,"2,063.45","2,064.43","2,038.33","2,044.81",1.31,26.1,-18.64,-17.33,-23.81,-2.29,,,
1/12/15,"2,046.13","2,049.30","2,022.58","2,028.26",1.32,26.72,-17.87,-16.55,-22.23,-4.49,,,
1/13/15,"2,031.58","2,056.93","2,008.25","2,023.03",3.32,48.68,-8.55,-5.23,-20.01,-28.67,,,
1/14/15,"2,018.40","2,018.40","1,988.44","2,011.27",-4.63,29.96,-7.13,-11.76,-34.59,4.63,,,
1/15/15,"2,013.75","2,021.35","1,991.47","1,992.67",2.48,29.88,-21.08,-18.6,-19.8,-10.08,,,
1/16/15,"1,992.25","2,020.46","1,988.12","2,019.42",-0.42,32.34,27.17,26.75,-4.55,-27.79,,,
1/20/15,"2,020.76","2,028.94","2,004.49","2,022.55",1.34,24.45,1.79,3.13,-14.93,-9.52,,,
1/21/15,"2,020.19","2,038.29","2,012.04","2,032.12",-2.36,26.25,11.93,9.57,-10.51,-15.74,,,
1/22/15,"2,034.30","2,064.62","2,026.38","2,063.15",2.18,38.24,28.85,31.03,-5.74,-32.5,,,
1/23/15,"2,062.98","2,062.98","2,050.54","2,051.82",-0.17,12.44,-11.16,-11.33,-12.61,0.17,,,
1/26/15,"2,050.42","2,057.62","2,040.97","2,057.09",-1.4,16.65,6.67,5.27,-10.85,-5.8,,,
1/27/15,"2,047.86","2,047.86","2,019.91","2,029.55",-9.23,27.95,-18.31,-27.54,-37.18,9.23,,,
1/28/15,"2,032.34","2,042.49","2,001.49","2,002.16",2.79,41,-30.18,-27.39,-28.06,-12.94,,,
1/29/15,"2,002.45","2,024.64","1,989.18","2,021.25",0.29,35.46,18.8,19.09,-12.98,-22.48,,,
1/30/15,"2,019.35","2,023.32","1,993.38","1,994.99",-1.9,29.94,-24.36,-26.26,-27.87,-2.07,,,
2/2/15,"1,996.67","2,021.66","1,980.90","2,020.85",1.68,40.76,24.18,25.86,-14.09,-26.67,,,
2/3/15,"2,022.71","2,050.30","2,022.71","2,050.03",1.86,27.59,27.32,29.18,1.86,-29.45,,,
2/4/15,"2,048.86","2,054.74","2,036.72","2,041.51",-1.17,18.02,-7.35,-8.52,-13.31,-4.71,,,
2/5/15,"2,043.45","2,063.55","2,043.45","2,062.52",1.94,20.1,19.07,21.01,1.94,-22.04,,,
